socio-econ scenario;item;diet scenario;environmental domain;region;value
SSP2;abs;BMK;GHGe;all-r;7322,773502
SSP2;abs;BMK;GHGe;HIC;1155,593671
SSP2;abs;BMK;GHGe;UMC;1411,205028
SSP2;abs;BMK;GHGe;LMC;3781,857474
SSP2;abs;BMK;GHGe;LIC;991,7827819
SSP2;abs;BMK;GHGe;AFR_LMIC;862,7639522
SSP2;abs;BMK;GHGe;AMR_LMIC;1156,303407
SSP2;abs;BMK;GHGe;EMR_LMIC;730,4077431
SSP2;abs;BMK;GHGe;EUR_LMIC;344,1619242
SSP2;abs;BMK;GHGe;SEA_LMIC;1373,434119
SSP2;abs;BMK;GHGe;WPR_LMIC;1700,122909
SSP2;abs;BMK;GHGe;AFG;23,64314345
SSP2;abs;BMK;GHGe;AGO;19,62394288
SSP2;abs;BMK;GHGe;ALB;3,06524387
SSP2;abs;BMK;GHGe;ARG;137,607768
SSP2;abs;BMK;GHGe;ARM;1,808080828
SSP2;abs;BMK;GHGe;AUS;105,0409728
SSP2;abs;BMK;GHGe;AUT;7,944138113
SSP2;abs;BMK;GHGe;AZE;7,56494002
SSP2;abs;BMK;GHGe;BDI;3,356675256
SSP2;abs;BMK;GHGe;BEN;5,984749627
SSP2;abs;BMK;GHGe;BFA;40,10267213
SSP2;abs;BMK;GHGe;BGD;116,924266
SSP2;abs;BMK;GHGe;BGR;5,149764409
SSP2;abs;BMK;GHGe;BLR;19,10172409
SSP2;abs;BMK;GHGe;BLT;18,82993527
SSP2;abs;BMK;GHGe;BLX;30,12520181
SSP2;abs;BMK;GHGe;BLZ;0,394503562
SSP2;abs;BMK;GHGe;BOL;32,28048819
SSP2;abs;BMK;GHGe;BRA;563,0543174
SSP2;abs;BMK;GHGe;BTN;0,994367422
SSP2;abs;BMK;GHGe;BWA;5,056990448
SSP2;abs;BMK;GHGe;CAF;9,866158277
SSP2;abs;BMK;GHGe;CAN;47,94621945
SSP2;abs;BMK;GHGe;CHL;20,24561892
SSP2;abs;BMK;GHGe;CHM;1522,906385
SSP2;abs;BMK;GHGe;CHP;5,928523741
SSP2;abs;BMK;GHGe;CIV;8,808017319
SSP2;abs;BMK;GHGe;CMR;16,98793347
SSP2;abs;BMK;GHGe;COD;13,23930021
SSP2;abs;BMK;GHGe;COG;1,905074395
SSP2;abs;BMK;GHGe;COL;73,6008699
SSP2;abs;BMK;GHGe;CRB;2,167102425
SSP2;abs;BMK;GHGe;CRI;3,739685269
SSP2;abs;BMK;GHGe;CUB;12,07234378
SSP2;abs;BMK;GHGe;CYP;0,86983683
SSP2;abs;BMK;GHGe;CZE;5,548506869
SSP2;abs;BMK;GHGe;DEU;57,46732122
SSP2;abs;BMK;GHGe;DJI;1,776954257
SSP2;abs;BMK;GHGe;DNK;7,787665204
SSP2;abs;BMK;GHGe;DOM;8,548166336
SSP2;abs;BMK;GHGe;DZA;19,3501153
SSP2;abs;BMK;GHGe;ECU;14,49610574
SSP2;abs;BMK;GHGe;EGY;50,35641521
SSP2;abs;BMK;GHGe;ERI;3,871777641
SSP2;abs;BMK;GHGe;ETH;119,959229
SSP2;abs;BMK;GHGe;FJI;1,290683648
SSP2;abs;BMK;GHGe;FNP;13,65258425
SSP2;abs;BMK;GHGe;FRP;68,10873281
SSP2;abs;BMK;GHGe;GAB;1,245524581
SSP2;abs;BMK;GHGe;GEO;3,952598039
SSP2;abs;BMK;GHGe;GHA;13,31902621
SSP2;abs;BMK;GHGe;GIN;14,74246884
SSP2;abs;BMK;GHGe;GMB;1,876066755
SSP2;abs;BMK;GHGe;GNB;1,868034228
SSP2;abs;BMK;GHGe;GNQ;0,014223711
SSP2;abs;BMK;GHGe;GRC;12,39428561
SSP2;abs;BMK;GHGe;GSA;3,608564583
SSP2;abs;BMK;GHGe;GTM;11,70472594
SSP2;abs;BMK;GHGe;HND;9,539065712
SSP2;abs;BMK;GHGe;HRV;2,503123153
SSP2;abs;BMK;GHGe;HTI;6,552899295
SSP2;abs;BMK;GHGe;HUN;5,89713028
SSP2;abs;BMK;GHGe;IDN;186,2064627
SSP2;abs;BMK;GHGe;IND;939,2245043
SSP2;abs;BMK;GHGe;IRL;18,60461774
SSP2;abs;BMK;GHGe;IRN;104,0731675
SSP2;abs;BMK;GHGe;IRQ;18,63426581
SSP2;abs;BMK;GHGe;ISL;0,459560939
SSP2;abs;BMK;GHGe;ISR;7,977573313
SSP2;abs;BMK;GHGe;ITP;41,23871656
