"","item","diet.scenario","code_pays","calories","protein","carbohydrates","fat","saturatedFA","monounsatFA","polyunsatFA","vitaminC","vitaminA","folate","calcium","iron","zinc","potassium","fiber","copper","phosphorus","thiamin","riboflavin","niacin","vitaminB6","magnesium","pantothenate","vitaminB12","grp_diet"
"1","abs","BMK","AFG",1497.388069,52.03453008,258.6298381,33.24185079,13.72492395,10.28358925,6.349953534,27.9074299,295.4687583,166.7037749,459.1383217,15.60585112,9.437857029,1485.525374,19.38871283,0.886546267,1191.178258,0.789183157,0.485150801,17.96518049,4.677081527,425.9241907,4.104772085,1.474920618,"bmk"
"2","abs","BMK","AGO",1928.680551,49.69520387,296.1643898,55.19766295,18.69687055,22.0390972,15.43823787,129.2566743,913.2923078,277.0000493,334.0626533,13.64563192,7.755274339,2755.780047,30.09421308,1.205291723,1057.249836,1.367081325,0.686187738,15.89929176,1.640594088,362.9319991,3.14721167,2.107498133,"bmk"
"3","abs","BMK","ALB",2067.907071,88.13450518,264.4537205,90.70995045,37.05765581,29.84175596,13.9068006,89.77660711,554.9977426,285.3496685,1443.55134,13.43710452,13.57208678,2653.51595,31.95886337,1.797472861,1735.351226,1.643177274,1.411632002,18.58861359,1.966666314,503.9937817,6.560851574,5.633985793,"bmk"
"4","abs","BMK","ARG",2457.779081,116.7933822,316.354968,82.83869512,26.99190715,25.95612658,27.98180841,82.17896984,368.2037093,208.3885768,738.5651673,19.81913413,21.44974355,3264.144433,28.2248804,1.513035748,1735.369071,1.512930551,1.537830335,26.92068811,2.666601846,412.5497053,5.925565055,6.396289195,"bmk"
"5","abs","BMK","ARM",1831.203358,65.91833216,283.7051783,60.43273407,22.20732529,19.55740696,11.99781629,88.63748965,489.8442581,241.8153066,838.884202,12.61396053,10.91052323,2707.355005,33.564694,1.591957897,1422.638469,1.538990773,1.07876328,17.60058685,1.934089007,448.1765828,4.902830205,3.184560534,"bmk"
"6","abs","BMK","AUS",2130.662312,78.0112275,202.7103694,140.842969,47.79313102,54.21722834,23.82069731,52.36272125,626.750885,169.65584,805.0832224,11.12203348,12.2520229,2125.224801,18.68154759,1.296697348,1243.931635,1.129384263,1.166582211,18.96398193,1.557759972,306.2640101,4.824051738,5.232775059,"bmk"
"7","abs","BMK","AUT",2412.357777,73.38772697,267.1464511,129.7356641,39.300309,54.46927652,26.50904845,74.46370907,510.9380271,208.0508046,899.5249693,10.87339438,10.67878716,2393.677538,27.16306798,1.389067048,1372.330233,1.602735936,1.261698452,16.88575663,1.797878707,377.2770425,5.797584403,4.774923785,"bmk"
"8","abs","BMK","AZE",2049.27643,77.31806374,362.1819085,52.67017036,18.46137078,13.40080099,11.99884335,74.37005378,285.8355278,262.3728193,612.6747464,17.25367008,14.05435955,3066.210557,44.81950959,2.061378657,1733.673814,2.090364051,1.158083935,24.37493256,2.386647048,591.8625023,5.252346126,2.560377552,"bmk"
"9","abs","BMK","BDI",1325.56512,39.41059674,259.3731153,14.14642637,4.123076591,4.322251064,3.841605946,122.7663571,195.2427797,450.3014113,311.0780597,12.86803972,6.848325321,3702.477764,28.4263943,1.739887888,828.3198818,1.008571972,0.561966313,9.939189241,2.323843838,369.8541105,4.031214617,0.265422449,"bmk"
"10","abs","BMK","BEN",2110.659769,51.71895296,362.3264182,40.656016,13.08726976,17.55991027,10.95749863,179.1636043,545.5905607,354.8489737,379.0859196,18.29708565,9.146914776,4617.541191,39.91042818,1.976378918,1163.133954,2.090124056,0.811993645,14.37449535,2.210267777,482.7364078,3.505955534,0.752523401,"bmk"
"11","abs","BMK","BFA",2127.875729,66.90510918,318.8377506,54.47966918,13.61089765,19.5973424,18.64715158,22.19565571,264.0145179,336.1236365,257.2151651,26.46954441,12.81853391,2567.003426,45.63003918,2.03148738,1405.810223,1.960074046,0.857376347,19.32299378,2.26375234,820.2283732,2.643716475,0.95148051,"bmk"
"12","abs","BMK","BGD",2267.029173,53.8876062,440.2826097,30.3480085,8.687729619,9.169955975,7.091126486,34.80971726,192.614722,142.9204724,280.5069071,11.82146117,5.205696077,1044.107079,13.17881778,1.004264944,878.7965839,1.394901731,0.627713396,17.30327543,1.179724042,232.8256747,8.013099631,0.921806302,"bmk"
